MAG1,SIGNAL1,DATE,TIME,MAG2,SIGNAL2,MAG3,SIGNAL3,MAG4,SIGNAL4,MAG5,SIGNAL5,ALTITUDE,LINE,LAYBACK,MAG3_NORTH,MAG3_EAST
49724.428,806,02/27/16,04:01:58,49728.025,947,49727.868,1057,49729.50624,640,49728.76149,332,2.551792,1026,3.8,,
49724.47,806,02/27/16,04:01:58,49728.073,947,49727.9222,1057,49729.60745,639.2647059,49728.7925,332,2.567620828,1026,3.8,6027607.507,276717.0161
49724.496,806,02/27/16,04:01:58,49728.11162,947,49727.983,1057,49729.66416,637.4639175,49728.85116,332,2.58538,1026,3.8,6027607.694,276716.7975
49724.47,806,02/27/16,04:01:58,49728.115,947,49727.958,1060,49729.51408,640,49728.79578,332,2.551792,1026,3.8,6027607.851,276716.6136
49724.496,803,02/27/16,04:01:58,49728.073,945,49727.939,1057,49729.47892,640,49728.77592,332,2.55739,1026,3.8,6027607.995,276716.3881
49724.448,803,02/27/16,04:01:58,49728.051,947,49727.91664,1057,49729.46,638.3333333,49728.74448,330.8659794,2.554608172,1026,3.8,6027608.135,276716.1878
49724.473,801,02/27/16,04:01:58,49728.02836,945.993865,49727.894,1057,49729.48057,635,49728.73402,330,2.551792,1026,3.8,6027608.286,276715.9895
49724.425,801,02/27/16,04:01:58,49727.98,945,49727.826,1052,49729.47528,635,49728.748,327,2.551792,1026,3.8,6027608.445,276715.7948
49724.451,801,02/27/16,04:01:59,49727.939,945,49727.804,1055,49729.3296,633.2178218,49728.748,327,2.543395,1026,3.8,6027608.61,276715.6016
49724.38,801,02/27/16,04:01:59,49727.849,945,49727.756,1052,49729.27412,633.1764706,49728.70467,327,2.543395,1026,3.8,6027608.779,276715.4083
49724.425,801,02/27/16,04:01:59,49727.84749,945,49727.80279,1053.509202,49729.36624,634.0196078,49728.72853,327,2.550435429,1026,3.8,6027608.949,276715.2166
49724.428,801,02/27/16,04:01:59,49727.84659,945,49727.849,1054.962963,49729.4,630,49728.79074,327,2.557631889,1026,3.8,6027609.117,276715.022
49724.448,801,02/27/16,04:01:59,49727.939,942,49727.936,1050,49729.46188,633.9411765,49728.77261,327,2.543395,1026,3.8,6027609.281,276714.8321
49724.473,801,02/27/16,04:01:59,49727.958,945,49727.916,1052,49729.48156,632.7941176,49728.77,325.6138614,2.537797,1026,3.8,6027609.452,276714.6336
49724.493,798,02/27/16,04:01:59,49728.006,942,49727.93836,1051.006135,49729.55225,630,49728.75922,325,2.537797,1026,3.8,6027609.623,276714.4421
49724.541,798,02/27/16,04:01:59,49728.06234,942,49727.961,1050,49729.53104,630.4901961,49728.74089,325,2.537797,1026,3.8,6027609.799,276714.2436
49724.56,801,02/27/16,04:01:59,49728.138,945,49727.961,1052,49729.4509,632.8041237,49728.63946,326.9009901,2.537797,1026,3.8,6027609.975,276714.0507
49724.541,801,02/27/16,04:01:59,49728.096,942,49727.871,1052,49729.43034,633.9117647,49728.59599,327,2.551792,1026,3.8,6027610.156,276713.8526
49724.515,801,02/27/16,04:02:00,49728.073,942,49727.83852,1052,49729.438,635.6666667,49728.63041,327,2.538803176,1026,3.8,6027610.338,276713.6625
49724.451,801,02/27/16,04:02:00,49728.03929,943.5092025,49727.801,1052,49729.4369,636.2708333,49728.58741,327,2.523802,1026,3.8,6027610.521,276713.473
49724.425,801,02/27/16,04:02:00,49727.936,945,49727.781,1055,49729.3128,632,49728.54424,327,2.551792,1026,3.8,6027610.703,276713.2831
49724.425,801,02/27/16,04:02:00,49727.916,945,49727.666,1052,49729.26436,633.8118812,49728.50762,327,2.509807,1026,3.8,6027610.884,276713.0928
49724.383,801,02/27/16,04:02:00,49727.826,945,49727.691,1052,49729.22,633.8235294,49728.48634,325.7254902,2.5294,1026,3.8,6027611.064,276712.9021
49724.448,801,02/27/16,04:02:00,49727.846,942,49727.70106,1052,49729.22,632.6185567,49728.50668,325.8823529,2.533624258,1026,3.8,6027611.24,276712.7141
49724.496,798,02/27/16,04:02:00,49727.87,942,49727.711,1052,49729.22178,634.8811881,49728.54925,326.5,2.537797,1026,3.8,6027611.422,276712.5245
49724.493,796,02/27/16,04:02:00,49727.961,942,49727.804,1052,49729.27997,630.6391753,49728.60815,325,2.5294,1026,3.8,6027611.607,276712.3419
49724.518,796,02/27/16,04:02:00,49727.913,940,49727.846,1047,49729.36592,630,49728.62888,322.8350515,2.509807,1026,3.8,6027611.797,276712.1589
49724.582,793,02/27/16,04:02:00,49728.096,938,49727.92551,1048.490798,49729.44714,630.5742574,49728.6473,322,2.519543399,1026,3.8,6027611.976,276711.975
49724.586,793,02/27/16,04:02:00,49728.08443,939.006135,49728.006,1050,49729.44727,631.4845361,49728.65011,322,2.5294,1026,3.8,6027612.16,276711.7903
49724.605,793,02/27/16,04:02:01,49728.07,938,49727.913,1045,49729.35002,625.5098039,49728.54692,320.0206186,2.5294,1026,3.8,6027612.336,276711.6052
49724.541,793,02/27/16,04:02:01,49728.028,938,49727.826,1042,49729.34613,626.0784314,49728.52796,320,2.55739,1026,3.8,6027612.508,276711.4186
49724.515,791,02/27/16,04:02:01,49727.983,940,49727.804,1042,49729.40215,626.2916667,49728.523,318.2475248,2.55739,1026,3.8,6027612.666,276711.2237
49724.473,791,02/27/16,04:02:01,49727.95106,937.6162791,49727.7916,1042,49729.40255,624.6363636,49728.523,317,2.554721186,1026,3.8,6027612.82,276711.0266
49724.448,791,02/27/16,04:02:01,49727.846,938,49727.714,1040,49729.21509,623,49728.49815,317,2.55739,1026,3.8,6027612.976,276710.8306
49724.428,789,02/27/16,04:02:01,49727.871,935,49727.666,1038,49729.23461,623,49728.50056,317,2.543395,1026,3.8,6027613.135,276710.6355
49724.448,789,02/27/16,04:02:01,49727.913,935,49727.714,1040,49729.30343,621.6470588,49728.54435,315.7058824,2.576983,1026,3.8,6027613.295,276710.4413
49724.473,786,02/27/16,04:02:01,49727.983,933,49727.7475,1040,49729.35516,621.2135922,49728.55769,315.9375,2.55739,1026,3.8,6027613.457,276710.2511
49724.47,786,02/27/16,04:02:01,49728.00536,933.993865,49727.781,1040,49729.29136,624.8421053,49728.546,316.4174757,2.537797,1026,3.8,6027613.622,276710.0578
49724.428,786,02/27/16,04:02:02,49727.891,935,49727.781,1038,49729.42291,620,49728.56663,315,2.5294,1026,3.8,6027613.79,276709.8689
49724.448,781,02/27/16,04:02:02,49727.916,930,49727.778,1033,49729.30092,620,49728.61726,313.5294118,2.5294,1026,3.8,6027613.961,276709.6762
49724.425,781,02/27/16,04:02:02,49727.849,930,49727.7458,1033,49729.175,619.3814433,49728.57461,313,2.547705117,1026,3.8,6027614.133,276709.486
49724.406,779,02/27/16,04:02:02,49727.84751,929.006135,49727.714,1033,49729.175,618,49728.50706,313,2.565787,1026,3.8,6027614.305,276709.2948
49724.425,779,02/27/16,04:02:02,49727.939,928,49727.666,1030,49729.35842,615.7722772,49728.51918,310.0582524,2.55739,1026,3.8,6027614.479,276709.103
49724.496,779,02/27/16,04:02:02,49728.276,925,49727.894,1028,49729.44752,615,49728.59274,310,2.590978,1026,3.8,6027614.654,276708.9107
49724.627,776,02/27/16,04:02:02,49728.208,925,49728.051,1025,49729.50347,615,49728.64113,308.75,2.551792,1026,3.8,6027614.832,276708.719
