MAG1,SIGNAL1,DATE,TIME,MAG2,SIGNAL2,MAG3,SIGNAL3,MAG4,SIGNAL4,MAG5,SIGNAL5,ALTITUDE,LINE,LAYBACK,MAG3_NORTH,MAG3_EAST
49733.405,159,02/26/16,22:08:16,49731.629,332,49733.13524,288,49734.28331,608,49734.41438,317,1.81645908,2016,3.8,,
49733.385,159,02/26/16,22:08:16,49731.513,330,49733.068,288,49734.37194,608,49734.48732,317,1.81929,2016,3.8,,
49733.318,159,02/26/16,22:08:16,49731.426,332,49733.048,288,49734.46389,608,49734.57981,317,1.83371,2016,3.8,,
49733.517,161,02/26/16,22:08:16,49731.51544,332,49733.248,288,49734.56981,609.5643564,49734.655,317.5294118,1.80487,2016,3.8,,
49733.61,159,02/26/16,22:08:16,49731.606,332,49733.475,291,49734.68111,610,49734.601,319.9117647,1.799102,2016,3.8,,
49733.61,159,02/26/16,22:08:16,49731.854,332,49733.453,288,49734.61166,608.4791667,49734.54786,320,1.87697,2016,3.8,,
49733.472,161,02/26/16,22:08:16,49731.741,337,49733.248,288,49734.49536,609.847619,49734.44732,318.7352941,1.84813,2016,3.8,,
49733.385,159,02/26/16,22:08:17,49731.449,334,49732.981,286,49734.35557,608.2857143,49734.39199,317.6831683,1.784682,2016,3.8,,
49733.158,161,02/26/16,22:08:17,49731.36902,334,49732.82,288,49734.28398,608,49734.37773,319.877551,1.784682,2016,3.8,6027129.095,277241.0787
49733.25,159,02/26/16,22:08:17,49731.179,334,49732.8665,289.5,49734.33579,609.3529412,49734.50259,319.019802,1.789008,2016,3.8,6027128.999,277240.7249
49733.135,159,02/26/16,22:08:17,49731.269,334,49732.913,288,49734.43053,608.254902,49734.4995,320,1.799102,2016,3.8,6027128.901,277240.3592
49733.183,161,02/26/16,22:08:17,49731.314,337,49732.978,288,49734.35994,609.8235294,49734.41939,320,1.80487,2016,3.8,6027128.801,277239.9884
49733.293,161,02/26/16,22:08:17,49731.33513,337,49732.955,291,49734.27262,610,49734.32714,320.254902,1.80487,2016,3.8,6027128.7,277239.615
49733.25,161,02/26/16,22:08:17,49731.359,337,49732.81042,293,49734.27992,615,49734.32768,322,1.780417926,2016,3.8,6027128.599,277239.2401
49733.248,164,02/26/16,22:08:17,49731.291,339,49732.798,293,49734.21068,615,49734.27179,323.7227723,1.79045,2016,3.8,6027128.497,277238.8641
49733.205,164,02/26/16,22:08:17,49731.112,339,49732.643,295,49734.08288,615.0980392,49734.2538,325,1.81929,2016,3.8,6027128.401,277238.5047
49732.955,166,02/26/16,22:08:17,49731.0105,339,49732.551,298,49734.11906,619.1176471,49734.24,325,1.81929,2016,3.8,6027128.298,277238.1252
49733.115,164,02/26/16,22:08:18,49730.909,339,49732.551,298,49734.16767,618.8037383,49734.24,325,1.81929,2016,3.8,6027128.18,277237.7746
49733.18,166,02/26/16,22:08:18,49731.134,342,49732.3835,298,49734.02212,618.5490196,49734.01918,327,1.81929,2016,3.8,6027127.499,277237.7119
49733.115,166,02/26/16,22:08:18,49730.999,342,49732.236,298,49733.91126,620,49733.95103,326.1568627,1.81929,2016,3.8,6027126.972,277237.5447
49733.068,166,02/26/16,22:08:18,49730.887,344,49732.101,298,49733.78542,620,49733.87165,325.4742268,1.81929,2016,3.8,6027126.374,277237.3242
49732.981,166,02/26/16,22:08:18,49730.7737,343.006135,49731.741,298,49733.64097,616.4795918,49733.70603,326.8613861,1.813522,2016,3.8,6027125.883,277237.0252
49733.09,166,02/26/16,22:08:18,49730.729,342,49731.73,298,49733.72645,615.7741935,49733.77277,325,1.836594,2016,3.8,6027125.519,277236.6814
49733.25,166,02/26/16,22:08:18,49730.864,344,49731.696,298,49733.74213,618,49733.73219,325,1.853898,2016,3.8,6027125.278,277236.3254
49733.427,166,02/26/16,22:08:18,49730.819,344,49731.719,298,49733.72248,618,49733.65589,325,1.868318,2016,3.8,6027125.141,277235.9766
49733.7,164,02/26/16,22:08:18,49730.885,344,49731.696,298,49733.70496,619.5490196,49733.55857,325.2680412,1.853898,2016,3.8,6027125.087,277235.6445
49733.97,166,02/26/16,22:08:19,49731.022,344,49731.696,296.5,49733.58622,620,49733.43258,327,1.861108,2016,3.8,6027125.126,277235.3612
49734.172,166,02/26/16,22:08:19,49730.977,342,49731.696,298,49733.4888,620.6831683,49733.3934,328.7524752,1.853898,2016,3.8,6027125.168,277235.0575
49734.397,168,02/26/16,22:08:19,49730.929,339,49731.719,300,49733.38703,623,49733.34094,330,1.87697,2016,3.8,6027125.374,277234.8826
49734.509,168,02/26/16,22:08:19,49730.964,340.5,49731.764,300,49733.49582,623,49733.30158,330,1.86255,2016,3.8,6027125.604,277234.716
49734.757,168,02/26/16,22:08:19,49730.999,342,49731.943,303,49733.40188,624.3125,49733.42398,330,1.882738,2016,3.8,6027125.827,277234.5472
49734.734,168,02/26/16,22:08:19,49731.179,349,49732.191,303,49733.50186,625,49733.46949,331.2475248,1.8872185,2016,3.8,6027126.057,277234.3749
49734.509,171,02/26/16,22:08:19,49731.199,349,49732.191,303,49733.5414,625,49733.58648,330.9896907,1.882738,2016,3.8,6027126.28,277234.2015
49734.487,171,02/26/16,22:08:19,49731.291,352,49732.416,303,49733.66648,625,49733.62298,330,1.90581,2016,3.8,6027126.507,277234.029
49734.285,171,02/26/16,22:08:19,49731.28007,350.5092025,49732.508,305,49733.65932,625,49733.72571,330,1.940418,2016,3.8,6027126.737,277233.8582
49733.99,171,02/26/16,22:08:19,49731.089,349,49732.34828,303,49733.53438,625,49733.78151,330,1.92164546,2016,3.8,6027126.964,277233.6863
49733.722,171,02/26/16,22:08:20,49730.977,349,49732.30355,303,49733.47079,624.6633663,49733.82337,331.0392157,1.92594492,2016,3.8,6027127.191,277233.5131
49733.453,171,02/26/16,22:08:20,49730.774,349,49732.171,303,49733.45,623,49733.86539,332,1.931766,2016,3.8,6027127.412,277233.34
49733.315,171,02/26/16,22:08:20,49730.76173,348.0186335,49732.166,303,49733.50701,624.628866,49733.90382,332,1.946186,2016,3.8,6027127.63,277233.162
49733.138,171,02/26/16,22:08:20,49730.749,347,49732.351,305,49733.53255,625,49734.01235,332,1.946186,2016,3.8,6027127.819,277232.9705
49733.023,173,02/26/16,22:08:20,49730.884,349,49732.37088,305,49733.588,625,49733.81694,332,1.960517534,2016,3.8,6027127.997,277232.7736
49732.936,171,02/26/16,22:08:20,49730.752,352,49732.303,305,49733.5674,625.1509434,49733.67697,332,1.969258,2016,3.8,6027128.184,277232.592
49732.663,171,02/26/16,22:08:20,49730.662,352,49732.168,305,49733.35878,626.6792453,49733.54867,332,1.960606,2016,3.8,6027128.362,277232.4061
49732.393,171,02/26/16,22:08:20,49730.42304,352,49731.764,305,49733.12067,627,49733.33528,332,1.960606,2016,3.8,6027128.556,277232.2396
49732.078,173,02/26/16,22:08:20,49730.1,352,49731.651,305,49733.05514,627.8969072,49733.15777,332,2.023965534,2016,3.8,6027128.843,277232.1422
